,sentence,Arabic,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,كانت الحرب صرخة عن العدالة كانت كلها أكثر من اللازم ل chagrin للسلطات. ,The war was a cry about justice was too much for Chagrin for the authorities. 
1,The regime's decision adumbrates the underlying agenda.,قرار النظام Adumbrates جدول الأعمال الأساسي. ,System decision adumbrates is the primary agenda. 
2,The community was anxious over the passing of the much needed reforms.,كان المجتمع حريصا على إزارة الإصلاحات التي تشتد الحاجة إليها. ,The society was keen on the reduced reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,نشر خزان التفكير ورقة تحدد اعتذارهم بعقوبة الإعدام. ,Publishing a tank thinking paper determines their apology with death penalty. 
4,Aught was left of the petition's validity,أترك aught من صلاحية الالتماس ,I leave aught of the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,احتض الرئيس وزراءه إلى الإبزيم كدعم معارض رئيسي لخطته الاقتصادية على وشك الإبزيم. ,The president has established its ministers to buckle as supporting major exhibitions of his economic plan is about to breathe. 
6,The voters were chuffed to see the bill passed.,كانت الناخبون مغطاة لرؤية مشروع القانون مرت. ,Voters were covered to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,يضح رواية المحامي السياسية هيئة المحلفين. ,The narrative of the political lawyer is clear. 
8,he court enjoined the violence!,فزلت المحكمة العنف! ,The court of violence. 
9,The EU block opposed an eventual imposition of anti-dumping measures.,تعارض كتلة الاتحاد الأوروبي فرض نهج تدابير مكافحة الإغراق. ,The Bloc of the European Union opposes an approach to anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,تم تسليم الجبهة الفضائية من قبل المحامي الخبيث. ,The space front was delivered by malignant lawyer. 
11,The gig-economy agency decided to garnish the refunds!,قررت وكالة أزعج الاقتصاد تزين المبالغ المستردة! ,The gig economy agency decided to decorate refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,أطاح أعضاء الحركة الثورية المناهضة للهموسوقة الأقران في السلطة! ,Subjugate revolutionary movement members anti-mistake in power! 
13,The traitors disappointingly decided to fight with the colonialists.,قرر الخونة مخيبة للآمال القتال مع المستعمرين. ,The traitor decided disappointing fighting with colonists. 
