,sentence,Croatian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Ratni krik za pravdu bio je sve više - mnogo na Chagr Vlasti. ,The war cry for justice was more and much on Chagr authorities. 
1,The regime's decision adumbrates the underlying agenda.,Odluka režima adumbrita temeljne dnevnog reda. ,Decision to the Adumbrite Regime of the Fundamental Agenda. 
2,The community was anxious over the passing of the much needed reforms.,Zajednica je bila zabrinuta zbog prijenosa važećih reformi. ,The community was worried about the transfer of valid reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Think Tank je objavio papir koji opisuje svoju ispriku kapitalne kazne. ,Think Tank has published a paper describing his apology for a capital sentence. 
4,Aught was left of the petition's validity,Aught je ostao od valjanosti peticije ,AUGHT has remained from the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Predsjednik je potaknuo svoje ministre kako bi se pričvrstilo kao ključnu opozicijsku potporu za njegov ekonomski plan bio je pričvrstiti. ,The president prompted his ministers to fasten as a key opposition support for his economic plan to attach. 
6,The voters were chuffed to see the bill passed.,Birači su bili teni da vide da je račun prošao. ,The voters were tense to see the account passed. 
7,The lawyer's discursive narration swayed the jury.,Pravništvo je diskurzivna naracija zamrljavala žiri. ,The lawyard has discouraged narcissing the jury. 
8,The court enjoined the violence!,Sud je zaronio nasilje! ,The court has dived violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Blok EU-a protivio se eventualnom uvođenju antidampinških mjera. ,The EU block opposed to the possible introduction of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Ispunjen hvalospjev dostavljao je lukavski odvjetnik. ,The fulfilled praise was delivered by a tricky lawyer. 
11,The gig-economy agency decided to garnish the refunds!,Agencija za Gig-gospodarstvo odlučila je ukrasiti povrat! ,The GIG-Economy Agency has decided to decorate the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Članovi anti-teokratskog revolucionarnog pokreta srušili su vršnjake na vlasti! ,The members of the anti-theocratic revolutionary movement collapsed peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Dobitnici su se razočaravajuli mogli boriti s kolonijalistima. ,The winners were disappointed could fight with colonialists. 
