,sentence,Latin,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,"Iustitia enim est bellum, et clamor toto - multum ad dolore ad auctoritates . ","The righteousness of the it is his battle , and the cry of the whole - much to the chagrin made to the text . "
1,The regime's decision adumbrates the underlying agenda.,De regimen immutata est scriptor rerum agendarum consilium adumbrates fundamentum . ,The regime 's policy agenda adumbrates basis. 
2,The community was anxious over the passing of the much needed reforms.,Et civitatem firmam et quantum opus esset super Amnon interitu habituros. ,"And the fenced city also, and the amount of work they would have would be the death of Amnon . "
3,The think tank  published a paper outlining their apology of capital punishment.,"In tristique cogitant published in charta sua , breviter excusatio capitis poena . ",The sad think published in his paper briefly excuse capital punishment . 
4,Aught was left of the petition's validity,Quicquam relictum esset petitionem ad validitatem ,Anything left to challenge the validity of a petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Hortatur milites praesidis minister est sicut clavis insurrecturos contra subsidium oeconomicum in consilio erat curiosa. ,President urges soldiers to support an economic planning minister is a key insurrecturos was fantastic. 
6,The voters were chuffed to see the bill passed.,LAETIFICUS suffragii erant in legis Transierunt videre . ,HAPPY voting were passed into law to see . 
7,The lawyer's discursive narration swayed the jury.,The discursivus narratione iuris moveri iudices . ,The FP count of the law affected . 
8,The court enjoined the violence!,Et atrium per violentiam poterit scrutari vias ! ,The court will be able to examine ways of violence ? 
9,The EU block opposed an eventual imposition of anti-dumping measures.,"EU anti - dumping obstructionum opposuit et , si casus ferat , impositionis quoque batos capiebat. ",EU anti - dumping block opposite the eventual imposition of measures. 
10,A fulsome eulogy was delivered by the sly counsel.,A fulsome liberatus sum laudari callidum consilium . ,A fulsome eulogy was delivered by a cunning plan . 
11,The gig-economy agency decided to garnish the refunds!,"Et GIg elit , propellente placuit refunds ornatis ? ","The Gig competition, the agency decided to decorate the refunds ? "
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Anti - novarum motus per membra theocraticam involvit eos pares in potestate ! ,Anti - theocratic revolution movement by the members involved were equal in power ? 
13,The traitors disappointingly decided to fight with the colonialists.,Litterarum in primis disappointingly placuit certare cum colonialists . ,Their first disappointingly decided to fight the colonialists . 
