,sentence,Punjabi,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,"ਯੁੱਧ ਲਈ ਨਿਆਂ ਲਈ ਦੁਹਾਈ ਦੇ ਰਿਹਾ ਸੀ, ਅਥਾਰਟੀਜ਼ ਦੇ ਚਾਗੀ ਲਈ ਬਹੁਤ ਕੁਝ ਸੀ. ","Was crying for justice for the war, there was a lot for the Authorities to the Nirect. "
1,The regime's decision adumbrates the underlying agenda.,ਸ਼ਾਸਨ ਦਾ ਫੈਸਲਾ ਅੰਡਰਲਾਈੰਗ ਏਜੰਡੇ ਨੂੰ ਮੰਨਦਾ ਹੈ. ,The decision of the governance assumes the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,ਕਮਿ community ਨਿਟੀ ਬਹੁਤ ਸਾਰੇ ਲੋੜੀਂਦੇ ਸੁਧਾਰਾਂ ਦੇ ਰਾਹ ਤੋਂ ਚਿੰਤਤ ਸੀ. ,Community was concerned about the way for many desired improvements. 
3,The think tank  published a paper outlining their apology of capital punishment.,ਸੋਚਣ ਵਾਲੇ ਟੈਂਕ ਨੇ ਆਪਣੀ ਸਜ਼ਾ ਦੀ ਸਜ਼ਾ ਦੀ ਰੂਪ ਰੇਖਾ ਦੀ ਰੂਪ ਰੇਖਾ ਨੂੰ ਦਰਸਾਉਂਦੇ ਹੋਏ ਇੱਕ ਪੇਪਰ ਪ੍ਰਕਾਸ਼ਤ ਕੀਤਾ. ,Tank Published a paper by showing his sentence in the form of sentences of the sentence. 
4,Aught was left of the petition's validity,ਪਟੀਸ਼ਨ ਦੀ ਵੈਧਤਾ ਦਾ ਕੰਮ ਛੱਡ ਦਿੱਤਾ ਗਿਆ ਸੀ ,The validity of the petition was quitted 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,ਰਾਸ਼ਟਰਪਤੀ ਨੇ ਆਪਣੀ ਆਰਥਿਕ ਯੋਜਨਾ ਲਈ ਅਹਿਮ ਵਿਰੋਧੀ ਧਿਰ ਦੇ ਮੁੱਖ ਸਮਰਥਨ ਦੇ ਅਹੁਦੇ 'ਤੇ ਗਲੇ ਲਗਾਉਣ ਲਈ ਕਿਹਾ ਸੀ ,The President had asked his economic plan to embrace the main support of the key support 
6,The voters were chuffed to see the bill passed.,ਵੋਟਰਾਂ ਨੂੰ ਠੱਪ ਕਰ ਦਿੱਤਾ ਗਿਆ ਸੀ ਤਾਂ ਜੋ ਬਿੱਲੇ ਪਾਸ ਕੀਤੇ ਗਏ ਸਨ. ,Voters were crooked so that bads were passed. 
7,The lawyer's discursive narration swayed the jury.,ਵਕੀਲ ਦੇ ਵਿਵਾਦਪੂਰਨ ਕਥਨ ਨੇ ਜਿ ury ਰੀ ਨੂੰ ਦਬਾ ਦਿੱਤਾ. ,The lawyer's controversial statement pressed the jury. 
8,The court enjoined the violence!,ਅਦਾਲਤ ਨੇ ਹਿੰਸਾ ਦਾ ਆਦੇਸ਼ ਦਿੱਤਾ! ,The court directed violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ਯੂਰਪੀਅਨ ਯੂਨੀਅਨ ਨੇ ਐਂਟੀ-ਡੰਪਿੰਗ ਉਪਾਵਾਂ ਦੇ ਅੰਤਚੇ ਤੌਰ 'ਤੇ ਇਕ ਅੰਤ ਵਿਚ ਵਾਧਾ ਕੀਤਾ. ,The European Union overturned an end to an anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,ਇੱਕ ਪੂਰਨ ਭਾਸ਼ਾਈ lly ਸਲਾਹ ਦੇ ਅਨੁਸਾਰ ਪੇਸ਼ ਕੀਤਾ ਗਿਆ ਸੀ. ,A complete linguistic lly was introduced according to advice. 
11,The gig-economy agency decided to garnish the refunds!,ਗਿਗ-ਆਰਥਿਕਤਾ ਏਜੰਸੀ ਨੇ ਰਿਫੰਡਾਂ ਨੂੰ ਸਾਰਨ ਦਾ ਫੈਸਲਾ ਕੀਤਾ! ,The GG-Economy Agency decided to share refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,ਵਿਰੋਧੀ ਧੀਰਜ ਵਿਰੋਧੀ ਇਨਕਲਾਬੀ ਲਹਿਰ ਦੇ ਮੈਂਬਰਾਂ ਨੇ ਸ਼ਕਤੀ ਵਿੱਚ ਹਾਣੀਆਂ ਨੂੰ ਖਤਮ ਕਰ ਦਿੱਤਾ! ,The opposition endurance the opposition wave has ended the peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,ਹੁਸ਼ਿਆਰੀ ਨਾਲ ਗੱਲਬਾਤ ਕਰਨ ਦਾ ਫੈਸਲਾ ਸੁਣਾਉਂਦੇ ਹਨ. ,Brighery decide to communicate with. 
