,sentence,Tajik,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,"Марги ҷанг барои адолат ҳама чиз аз он иборат буд, ки то chaginin мақомот хеле зиёд буд. ",The death of battle for righteousness had everything to do so that the authorities had greatly been abundant. 
1,The regime's decision adumbrates the underlying agenda.,Қарори режим рӯзномаи аслро ба воя мерасонад. ,The decision resolves growing the original agenda. 
2,The community was anxious over the passing of the much needed reforms.,Ҷамоа аз болои ислоҳоти хеле зарурӣ ташвишовар буд. ,The community was worried about reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,ТАҲИФАҲОИ КИШВАРИДАНИ КАИСИЯИ ИСТИФОДАИ АЗ-и онҳоро ҷазои қатл интишор кард. ,Conditions of the country's country publish the death penalty. 
4,Aught was left of the petition's validity,А ,A 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Президент вазирон вазифадор буд, ки ҳамчун дастгирии калидии оппозитсия дар нақшаи иқтисодӣ дар бораи бастабандӣ гардад. ",The President was obliged to be obliged as key support for the opposition in the economic plan. 
6,The voters were chuffed to see the bill passed.,Интихобкунандагон барои дидани ҳисоб ба интихобшуда рӯ ба рӯ шуданд. ,Voters turned to the selected view. 
7,The lawyer's discursive narration swayed the jury.,Ривоятҳои раисдор доварон доварон буданд. ,The legends of the Chairman were judges. 
8,he court enjoined the violence!,Ӯ ба зӯроварӣ амр фармудааст! ,He commanded violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,"Блоки ИА муқобилат кард, ки як ҷорӣ кардани чораҳои зидди партофташуда. ",IA block opposed to the introduction of anti-dumped measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Элогияи Фулпӯм аз маслиҳати SALLALLED таслим шуд. ,The Mulprus Eogle gave up Sallaled advice. 
11,The gig-economy agency decided to garnish the refunds!,"Агентии GG-и иқтисодӣ тасмим гирифт, ки баргардонидани баргардонидани баргардонад! ",The Economic Gg Agency decided to return back back! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Аъзои ҳаракати зидди теокризатсия ҳамтоёнро дар қувват мебахшанд! ,Movement of antioced movement people give up the peers in strength! 
13,The traitors disappointingly decided to fight with the colonialists.,"Хирчаҳо ноумедона қарор доданд, ки бо коликчиён мубориза баранд. ",Hirbers are hopeless to deal with Colicists. 
