,sentence,Icelandic,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,The stríð gráta fyrir réttlæti var allt - mikið til chagrin stjórnvalda. ,The war crying for justice was all - a lot to the Church government. 
1,The regime's decision adumbrates the underlying agenda.,Ákvörðun stjórnarinnar adumbrates undirliggjandi dagskrá. ,The decision of the board adumbrates the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Samfélagið var kvíða yfir brottför mikils nauðsynlegra umbóta. ,The community was anxious over the departure of the very necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Hugsaðu tankinn gaf út pappír sem lýsir afsökunarbeiðni þeirra um dauðarefsingu. ,Think the tank issued a paper that describes their apologies for the death penalty. 
4,Aught was left of the petition's validity,Aufht var eftir af gildistíma bænsins ,Aufht was left of the expiration date of the prayer 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Forsetinn hvatti ráðherrana sína til að sjúga upp sem lykilstöðugleiki fyrir efnahagsáætlun hans var að fara að sylgja. ,The President urged his ministers to suck up as a key stability for his economic program was going to buckle. 
6,The voters were chuffed to see the bill passed.,Kjósendur voru chuffed til að sjá frumvarpið liðið. ,Voters were chuffed to see the bill team. 
7,The lawyer's discursive narration swayed the jury.,Discursive frásögn lögfræðingsins swayed dómnefndina. ,Discursive the lawyer's narrative swayed the jury. 
8,The court enjoined the violence!,Dómstóllinn dregur úr ofbeldi! ,The Court reduces violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ESB blokkin móti endanlegri álagningu á mótmælum. ,The EU block against the final imposition of protests. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulged Eulogy var afhent af SLY ráðinu. ,Fulged Eulogy was delivered by the Sly Council. 
11,The gig-economy agency decided to garnish the refunds!,The Gig-Economy Agency ákvað að skreyta endurgreiðsluna! ,The Gig-Economy Agency decided to decorate the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Meðlimir andstæðingur-theocratic byltingarkennd hreyfing sveifla jafningja í valdi! ,Members of anti-theocratic revolutionary movement swing peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,The svikari vonbrigðum ákvað að berjast við nýlendum. ,The cheated disappointment decided to fight the colonies. 
