,sentence,Somali,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Dagaalku oohinta cadaaladdu waxay ahayd mid aad u badan - si aad u badan ch cheenka ee masuuliyiinta. ,The fighting of fairness was so much - so much to BTE of authorities. 
1,The regime's decision adumbrates the underlying agenda.,Go'aanka xukunku wuxuu adhiga go'aanka ajandaha hoose. ,The decision of the sentence is determined by the agenda of the agenda. 
2,The community was anxious over the passing of the much needed reforms.,Bulshadu waxay ka walwalaysay gudbinta dib-u-habeeynta loo baahan yahay ee aad loogu baahan yahay. ,The community has been worried about referring the required reforms you need. 
3,The think tank  published a paper outlining their apology of capital punishment.,Fikradda taangiga ayaa daabacay warqad ku saabsan raali gelintooda ciqaabta dilka. ,The idea of the tank has published a letter about their apology to the death penalty. 
4,Aught was left of the petition's validity,Aught ayaa ka hadhay ansaxnimada codsiga ,AUtht left the validity of the application 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Madaxweynaha ayaa ku barbareeyay wasiirradiisa inay isku xidhaan sidii ay u taageeri lahaayeen mucaaradka mucaaradka ee qorshihiisa dhaqaale ee ay ku dhowdahay inay xirxiraan. ,The president went up to his ministers to link to support the opposition opposition to his economic plan to pack them. 
6,The voters were chuffed to see the bill passed.,Cod-bixiyeyaasha ayaa loo istaagay si ay u arkaan sharciga la meel mariyey. ,Voters were stopped to view the implementation of the law. 
7,The lawyer's discursive narration swayed the jury.,Sheegidda qareenka qareenka ayaa ka weecday xeerbeegtida. ,The attorney's attorney has turned to jury. 
8,he court enjoined the violence!,Wuxuu banneeyay inuu faragaliyay rabshadaha! ,He looted the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Xannibaada EU waxay ka soo horjeedday munaasabad ku saleysan tallaabooyinka ka hortagga daadinta. ,EU blocks are opposed to an occasion of the anti-leaking steps. 
10,A fulsome eulogy was delivered by the sly counsel.,Ealiogy palogy-ka waxaa dhiibtay qareen Sly. ,The Eachiogy Palogy was given by a SLY lawyer. 
11,The gig-economy agency decided to garnish the refunds!,Hay'adda dhaqaalaha-gig-you waxay go'aansatay inay soo buuxiso soo celinta! ,The Gig-GI has decided to complete the return! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Xubnaha dhaqdhaqaaqa ka hortaga kacdoonka kacaanka kacaanka ayaa istaagaya asxaabta awooda leh! ,Memories for preventing revolutionary revolution stopped with power friends! 
13,The traitors disappointingly decided to fight with the colonialists.,Cayayaanka si niyad jab leh ayaa go'aansaday inay la dagaallamaan gumeystihii. ,Pests are disappointedly decided to fight the colonies. 
