,sentence,Hmong,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Kev ua tsov ua rog rau kev ncaj ncees yog txhua tus dhau - ntau rau lub chagmin ntawm cov tub ceev xwm. ,Wars for justice is everyone too - more to the chagmin of the police. 
1,The regime's decision adumbrates the underlying agenda.,Cov kev txiav txim siab qhov kev txiav txim siab adumbrates cov txheej txheem hauv qab. ,The decisions the decision adumbrates the bottom process. 
2,The community was anxious over the passing of the much needed reforms.,Lub zej zog tau txhawj txog ntau yam kev hloov pauv ntau. ,The community has been worried about many changes. 
3,The think tank  published a paper outlining their apology of capital punishment.,Lub tank luam tawm ib daim ntawv qhia lawv txoj kev thov txim ntawm kev rau txim. ,The tank published a map of their apology of punishment. 
4,Aught was left of the petition's validity,Aught tau sab laug ntawm daim ntawv foob txoj kev siv tau ,Aught has left the Security Security 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Tus thawj tswj hwm ntuas nws tus neeg ntseeg Vajtswv rau buckle li kev thuam tus yuam sij txhawb rau nws txoj kev npaj nyiaj txiag tau raug rau buckle. ,The president admonished his beliefs of the Buckle as an insulting key to his financial plan for Buckle. 
6,The voters were chuffed to see the bill passed.,Cov neeg pov npav tau raug rho tawm mus saib daim nqi dhau mus. ,Voters areolated to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Tus kws lij choj cov lus thuam tau rub tawm cov pab pawg foob. ,The criticism's criticism has to download the seal team. 
8,he court enjoined the violence!,nws lub tsev hais plaub enjoined kev ua phem! ,His court enelyined violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EU thaiv tawm tsam ib qho xwm txheej tshwm sim ntawm kev ntsuas khib nyiab. ,EU block against an event occurred on a wastel. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulsome Eulogy tau raug xa los ntawm cov lus qhuab qhia SLly. ,Fulsome Eulogy has been submitted by SLONY doctrines. 
11,The gig-economy agency decided to garnish the refunds!,Lub chaw ua hauj lwm loj heev tau txiav txim siab rau Garnish cov nyiaj rov qab! ,The office is very determined to Garnish the money back! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Cov tswv cuab ntawm cov tshuaj tiv thaiv kev tshaj tawm txoj kev tawm tsam kev tawm dag zog dhau kev ntxias cov phooj ywg hauv lub zog! ,Members of the reaction of the media triumpher's physical activity over tempting friends in the strength! 
13,The traitors disappointingly decided to fight with the colonialists.,Cov neeg ntxeev siab tsis txaus siab los tawm tsam nrog cov tub rog. ,The rebellious people are not happy to fight with the military. 
