,sentence,Uyghur,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,"ئۇرۇش ئادالەت ئۈچۈن يىغلىنىپ, دائىرىلەرنىڭ مەھەللىسىگە نۇرغۇنلىغان. ",War weeping for faith and cries a lot of people. 
1,The regime's decision adumbrates the underlying agenda.,بۇ ھاكىمىيەتنىڭ قارارىنىڭ يوشۇرۇن كۈن تەرتىپىگە ماس كېلىدۇ. ,The decision of this government is suitable for potential action. 
2,The community was anxious over the passing of the much needed reforms.,بۇ جەمئىيەت ئېھتىياجلىق بولغان نۇرغۇن ئىسلاھاتنىڭ ئۆتۈپ كەتكەنلىكىدىن ئەنسىرەش ئىدى. ,This society was worried that the society has risen for a lot of reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,دېگەن دەپ قارايدىغانلار تان ئېلان قىلىنغان قەغەز ئۇلارنىڭ ئۆلۈم جازاسىنى كەچۈرۈم قىلماسلىقىنى ئېلان قىلدى. ,Viored what paved paper declared that they don't feel death penalty. 
4,Aught was left of the petition's validity,تەكلىپلەر ئىلتىماسنىڭ كۈچكە ئىگە ئىكەنلىكى ,Suggestions are valid for the application 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,پرېزىدېنت باشچىلىرىنى ئىقتىسادىي پىلاننىڭ مۇھىم ئۆكتىچىلەرگە ئاچقۇچلۇق ئۆكتىچى بولۇش سۈپىتىدە ياخشى كۆرىدىغانلار دەپ بېكىتتىدى. ,Identified the president's economic plan to be as key oppressors as a key tense. 
6,The voters were chuffed to see the bill passed.,سايلىغۇچىلار بۇ قانۇن لايىھىسىنى كۆرۈپ يىغىلدى. ,Voters have been viewed to see the bill. 
7,The lawyer's discursive narration swayed the jury.,ئادۋوكاتنىڭ كەمسىتىدىغان بايانلىرى زاسېداتېللار ئۆمىكىگە ئايلاندى. ,The statute of lawyer has become a jury. 
8,The court enjoined the violence!,سوت زوراۋانلىققا بۇيرۇلدى! ,The trial was commanded to violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ياۋروپا ئىتتىپاقىنىڭ چېكىنىپ كەتكەندىن كېيىن تاشلىۋېتىشكە قارشى تۇرۇش تەدبىرلىرىنى قىسقارتتى. ,Reduced the discretion of anti-Estate undone after the EU. 
10,A fulsome eulogy was delivered by the sly counsel.,يېقىملىق ياۋروپاۋۋا Sly مەسلىھەت بەرگەن. ,"It has been pleasant eurosvo, has given a pleasure SH. "
11,The gig-economy agency decided to garnish the refunds!,گىگ-ئۇنىڭدىن ئىقتىساد ئورگىنى پۇل قايتۇرۇشنى قارار قىلدى! ,Higgin of Economic Institution Decides Requimmed! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,بۇ قىلمىشقا قارشى سەپەر ئەزالىرى تورداشلارنى ھاكىمىيەت بېشىغا چۈشتى! ,Train members of this behavior on this behavior has been brought up with holidays 
13,The traitors disappointingly decided to fight with the colonialists.,بۇ ساتقۇنلار مۇستەملىكىچىلەر بىلەن ئۇرۇش قىلىشنى قارار قىلدى. ,These sharks decided to fight colonists. 
