,sentence,Chinese_Simplified,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,正义的战争哭泣是对当局的chagrin来说。 ,The war of justice is crying for the CHAGRIN of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,该制度的决定使潜在的议程犯罪。 ,The system decided to make potential agenda crimes. 
2,The community was anxious over the passing of the much needed reforms.,社区对急需改革的传递感到焦虑。 ,The community is anxious about the transfer of urgently needed reform. 
3,The think tank  published a paper outlining their apology of capital punishment.,智库发表了一篇论文，概述了他们道歉的资本惩罚。 ,The wisk is published in a papers and outlined the capital punishment of their apologies. 
4,Aught was left of the petition's validity,aught留下了请愿的有效性 ,AUGHT has left the validity of petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,总统劝告他的部长扣除作为对其经济计划的主要反对支持即将扣发。 ,The president advised his ministers to deduct the main object of support for its economic plan. 
6,The voters were chuffed to see the bill passed.,选民被淘汰，看看截至通过。 ,Voters were eliminated and saw as of the pass. 
7,The lawyer's discursive narration swayed the jury.,律师的话语叙述摇曳了陪审团。 ,The discourse of lawyers swayed the jury. 
8,he court enjoined the violence!,他法院禁止暴力！ ,His court banned violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,欧盟块反对最终征收反倾销措施。 ,EU blocks oppose ultimately levy anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,一位富有律师的富豪悼词。 ,A lawyer who is rich. 
11,The gig-economy agency decided to garnish the refunds!,GIG经济机构决定装修退款！ ,GIG economic institution decided to decorate refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,反科学革命运动的成员推翻了积极的同伴！ ,Members of the anti-science revolutionary movement overturned a positive companion! 
13,The traitors disappointingly decided to fight with the colonialists.,叛徒令人失望地决定与殖民主义者战斗。 ,The traitor disappoints decided to fight with colonialists. 
