,sentence,Corsican,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,A guerra di a guerra per a ghjustizia era tutta è à u piendo di l'autorità. ,The war of the war for justice was all and at the cuddle of authority. 
1,The regime's decision adumbrates the underlying agenda.,A decisione di u regime adumbratu a agenda sottostante. ,The regivation decision admitted the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,A cumunità era ansiosa sopra u passaghju di i riforme assai necessarii. ,The community was anxious above the passage of the very necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,U penseru purtu publicatu un paperu chì sustene a so scusa di u casticu di capitale. ,The Poor thought posted a paper that supports its capital punishment of the capital. 
4,Aught was left of the petition's validity,ATTÀ ESTATU DI A VIVIITÀ DI A PRILIZIONE ,Acting sort of prison's vivity 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,U presidente esortò i so ministeri à buckle up cum'è sustegnu di l'uppusizione chjave per u so pianu ecunomicu era di fibbia. ,The President exhorted his ministers to buckle up as key opposition support for its economic plan was of buckle. 
6,The voters were chuffed to see the bill passed.,I votanti eranu sbulicati per vede a fattura passata. ,Voters were faded to see the past bill. 
7,The lawyer's discursive narration swayed the jury.,A narrazione di a rivalutazione di l'avucatu si ferma u ghjuru. ,The narration of the revaluation of the lawyer stops the jury. 
8,The court enjoined the violence!,A tribunale hà capitu a viulenza! ,The court captured the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,U bloccu di l'UE hà oppostu un eventuale impositu di misure anti-doming. ,An EU block opposed an event-in-doming measurements. 
10,A fulsome eulogy was delivered by the sly counsel.,Un eulogia di pienu hè stata rimessa da u cunsigliu SLY. ,A full eulogy has been removed from the SLY board. 
11,The gig-economy agency decided to garnish the refunds!,L'agenzia di l'ecunumia di u gignu hà decisu di guarì i rimborsi! ,The agency of the Gigno's economy decided to heal the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Membri di u muvimentu anti-teocratica u muvimentu rimpiazzatu i pari in u putere! ,Members of anti -ocratic movement movement replaced peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,I traditori anu decisu decisu di luttà cù i culuniali. ,Cheers decided decided to fight with colonials. 
