,sentence,Sindhi,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,جنگ انصاف جي لاء روئي س all ي هئي - اختيارين جي چالان تائين گهڻو ڪجهه. ,Ray was all for the war justice - so much to the trick of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,رجمينٽ جو فيصلو بنيادي ايجنڊا کي خوش ڪري ٿو. ,The decision of regiment makes the main agenda. 
2,The community was anxious over the passing of the much needed reforms.,برادري جي گهڻي ضرورتن جي گذرڻ تي پريشاني هئي. ,Was anxiety on the passage of the community. 
3,The think tank  published a paper outlining their apology of capital punishment.,سوچ ٽينڪ کي سرمائي جي سزا جي معافي جو مطالبو ڪيو. ,Thought the tank to a penalty of capital punishment. 
4,Aught was left of the petition's validity,ايچرت جي درخواست جي تصديق کان بچيل هئي ,Achievement was saved by the verification of the request 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,صدر پنهنجي اسٽيم منصوبي لاء مڪاني حڪمراني جي مدد بابت ڪانفرنس جي مدد بابت گهٽ هئي. ,President was less about conference about the conference about its Steam project. 
6,The voters were chuffed to see the bill passed.,ووٽرن کي ڏٺو ويو ته بل پاس ڪيو ويو. ,Voters were seen that the bill was passed. 
7,The lawyer's discursive narration swayed the jury.,وڪيل جي چشمي جي روايت جوري کي ساڙي ڇڏيو. ,Burn the tradition of the passion of the lawyer. 
8,The court enjoined the violence!,عدالت تشدد کي ترجيح ڏني! ,Court prefer violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,اي يو بلاڪ مخالف ڊمپنگ جي قدمن جي هڪ واقعا مخالفت جي مخالفت. ,EU block opposing to opposite dumping steps opposing. 
10,A fulsome eulogy was delivered by the sly counsel.,سليس جي صلاحڪار طرفان هڪ مڪمل الوداج پهچايو ويو. ,A complete al afternoon was delivered by Susis's consultant. 
11,The gig-economy agency decided to garnish the refunds!,گيگ معاشي ايجنسي واپسي کي گارنٽي ڏيڻ جو فيصلو ڪيو! ,Gig Economic Agency decided to guarantee the return! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,مخالف انقلابي تحريڪ جا ميمبر پاور کي طاقت ۾ وجهي ڇڏيو! ,The members of the opposing revolutionary movement into power! 
13,The traitors disappointingly decided to fight with the colonialists.,غدارن کي نوآبادياتي ماهرن سان وڙهڻ جو فيصلو ڪيو. ,Decided to fight with colonial experts. 
