,sentence,French,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Le cri de la guerre pour la justice était tout excitée à la chagrin des autorités. ,The cry of the war for justice was excited to the grief of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,La décision du régime prépare l'ordre du jour sous-jacent. ,The decision of the regime prepares the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,La communauté était anxieuse sur le passage des réformes bien indispensables. ,The community was anxious about the passage of the reforms well indispensable. 
3,The think tank  published a paper outlining their apology of capital punishment.,Le groupe de réflexion a publié un document décrivant leurs excuses de la peine capitale. ,The think tank has published a document describing their apology for capital punishment. 
4,Aught was left of the petition's validity,Aught a été laissé de la validité de la pétition ,Aught has been left of the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Le président a exhorté ses ministres à se faufiler comme un soutien clé de l'opposition à son plan économique était sur le point de boucler. ,The Chairman urged his ministers to sneak as a key support of the opposition to his economic plan was about to go. 
6,The voters were chuffed to see the bill passed.,Les électeurs ont été percés de voir la facture passée. ,Voters were pierced to see the past invoice. 
7,The lawyer's discursive narration swayed the jury.,La narration discursive de l'avocat a balancé le jury. ,The discursive narration of the lawyer swung the jury. 
8,he court enjoined the violence!,Le tribunal a enjoint la violence! ,The court has enjoined violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Le bloc de l'UE s'est opposé à une éventuelle imposition de mesures antidumping. ,The EU bloc has opposed a possible imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Une élimination exhaustive a été livrée par le conseil de Sly. ,Exhaustive elimination was delivered by Sly Council. 
11,The gig-economy agency decided to garnish the refunds!,L'agence GIG-Economy a décidé de garnir les remboursements! ,The Gig-Economy agency has decided to garnish the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Les membres du mouvement révolutionnaire antiocratique ont renversé les pairs au pouvoir! ,The members of the anticropular revolutionary movement have overturned peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Les traîtres ont décidé de se battre avec les coloniaux. ,The traitors decided to fight with the colonials. 
