,sentence,Turkmen,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,"Uruş ştat üçin adalat üçin uruş, hemmelaryň çydamy - häkimiýetleriň çar gämisine köpdi. ","War, the beast, Or the Waise Round is a lot of the war to the justice for the justice. "
1,The regime's decision adumbrates the underlying agenda.,Rim-dime çykmagyň kararynda esasy gün tertibini ugratýar. ,Forwarded the main agenda on the decision to get out of RIM. 
2,The community was anxious over the passing of the much needed reforms.,"Jemgyýet, zerur reformalaryň geçmeginden ägirt alada döretdi. ",Society created a tremendous from the course of reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,TANK KANUN ÖZÜNI ALMAK ÜÇIN KÖP KÖP KÖP KÖP KÖP KÖP KÖP KÖP KÖP KÖP KÖP GÜNI ,Tang law is many many many many many many many many many many many many more 
4,Aught was left of the petition's validity,Haýyşdan dogrulygyny ýokdy ,There was no accuracy of the request 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Prezident, ministrini basyp almak baradaky ministrleri basyp, ykdysady meýilnamasy üçin esasy oppozisiýa goldawy baka boldular. ","President mark mainly for economic plan has been bac for economic plan at the ministry of the minister, by clicking the ministry. "
6,The voters were chuffed to see the bill passed.,Saýlawçylar kanun taslamasyny geçendigini görmek üçin süpürildi. ,Voters were swept to see the bill last. 
7,The lawyer's discursive narration swayed the jury.,Aklawçylaryň emlägini eminden çykardy. ,The law of lawyers took off the property. 
8,he court enjoined the violence!,Ol zorlukdan ybaratdy! ,He was violently by violent! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,"EUB bloky, çişmek çäreleriniň ahyrky enjamyna garşy çykdy. ",The EU block was against the end of the end of the final machinery. 
10,A fulsome eulogy was delivered by the sly counsel.,Doly ahlakly hem bolsa Sly geňeşçi tarapyndan eltildi. ,Was also delivered by Sly. 
11,The gig-economy agency decided to garnish the refunds!,Gig-Ykdysadyýet edarasy yzyna gaýtarylanlary ýapmak kararyna geldi! ,The GIG-Economics Instructor has decided to close the returns! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Kore antrolatiki ynkylapçylaryň agzalary hereketini häkimiýet başynda agdar! ,Core! The members of an anthroic article is overthrowing the members of an anthrool. 
13,The traitors disappointingly decided to fight with the colonialists.,Dönükler koloniýaly adamlar bilen söweşmek kararyna geldi. ,Treatic decisions decided to fight the colony people. 
