,sentence,Hebrew,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,קריאת המלחמה לצדק היתה רחבה - הרבה למגרין של השלטונות. ,Reading the war to justice was broad - a lot to the Marine of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,החלטת המשטר יכה את סדר היום הבסיסי. ,The regime decision will hit the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,הקהילה היתה חרדה על פניו של הרפורמות הנחוצות. ,The community was anxious on the face of the necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,הטנק חשיבה פרסם נייר המתאר את התנצלותם של עונש הון. ,The tank thinking published a paper that describes the apology of capital punishment. 
4,Aught was left of the petition's validity,אומה נותרה מתוקפתה של העתירה ,A nation remained attacked by the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,הנשיא הטיף את השרים שלו להתגלגל כתמיכת האופוזיציה המרכזית לתוכניתו הכלכלית עמדו באבזם. ,The president preached his ministers to roll as a support of the central opposition to his economic program stood in buckle. 
6,The voters were chuffed to see the bill passed.,הבוחרים היו גלויים כדי לראות את הצעת החוק עברה. ,The voters were visible to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,קריאת הדיסוקים של עורך הדין התנודדה למושבעים. ,The lawyer's dissociation of the lawyer swayed. 
8,The court enjoined the violence!,בית המשפט חזר לאלימות! ,The court returned to violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,בלוק האיחוד האירופי התנגד להטיל בסופו של דבר של אמצעים אנטי-השלכה. ,The EU block opposed to ultimately impose anti-projection measures. 
10,A fulsome eulogy was delivered by the sly counsel.,הספד פולסום נמסר על ידי היועץ הערמומי. ,The Fulfa Eulogy was delivered by the cunning consultant. 
11,The gig-economy agency decided to garnish the refunds!,סוכנות GIG -כלכלה החליטה לקשן את החזרים! ,Gig Agency - Economy has decided to bring the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,חברי התנועה המהפכנית האנטי-תיאוקרטית הפילו את עמיתים בכוח! ,Members of the anti -ocratic revolutionary movement dropped peers by force! 
13,The traitors disappointingly decided to fight with the colonialists.,הבוגדים החליטו מאכזב להילחם עם הקולוניאליסטים. ,The traitors decided disappointing to fight with colonialists. 
