,sentence,Hindi,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,न्याय के लिए युद्ध रोना सब कुछ था - अधिकारियों की चैगिन के लिए। ,War crying for justice was everything - for the Chagin of the officers. 
1,The regime's decision adumbrates the underlying agenda.,शासन का निर्णय अंतर्निहित एजेंडा को अनुशंसित करता है। ,The decision of governance recommends the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,समुदाय बहुत आवश्यक सुधारों को पारित करने पर चिंतित था। ,The community was worried about passing very necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,थिंक टैंक ने एक पेपर को राजधानी सजा के माफी को रेखांकित किया। ,Think Tank underlined the forgiveness of the capital sentence to a paper. 
4,Aught was left of the petition's validity,Aught याचिका की वैधता के लिए छोड़ दिया गया था ,AUGHT was left for the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,राष्ट्रपति ने अपने मंत्रियों को अपनी आर्थिक योजना के लिए महत्वपूर्ण विपक्षी समर्थन के रूप में बकवास करने के लिए प्रोत्साहित किया। ,The President encouraged his ministers to fuck as a significant opposition support for their economic plan. 
6,The voters were chuffed to see the bill passed.,बिल को पारित करने के लिए मतदाताओं को चक्कर दिया गया था। ,Voters were dizzy to pass the bill. 
7,The lawyer's discursive narration swayed the jury.,वकील के विवेकपूर्ण कथन ने जूरी को घुमाया। ,The prudent statement of the lawyer rotated the jury. 
8,he court enjoined the violence!,उस कोर्ट ने हिंसा को संलग्न किया! ,That court attached violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,यूरोपीय संघ ब्लॉक ने विरोधी डंपिंग उपायों के एक अंतिम प्रभाव का विरोध किया। ,EU block opposed a final impact of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,एक फुक्स्रोम यूलॉजी को स्ली काउंसिल द्वारा दिया गया था। ,A Fuksrome Yule was given by the Slee Council. 
11,The gig-economy agency decided to garnish the refunds!,गिग-अर्थव्यवस्था एजेंसी ने धनवापसी को गार्निश करने का फैसला किया! ,Gig-Economy Agency decided to garnish the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,एंटी-ईश्वरीय क्रांतिकारी आंदोलन के सदस्यों ने शक्तियों में सहकर्मियों को खत्म कर दिया! ,The members of the anti-divine revolutionary movement eliminate colleagues in powers! 
13,The traitors disappointingly decided to fight with the colonialists.,गद्दारों ने निराशाजनक रूप से उपनिवेशवादियों के साथ लड़ने का फैसला किया। ,The traitors decided to fight against the colonialists. 
