,sentence,Malagasy,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Ny fiantsoana ny ady ho an'ny fahamarinana dia feno indrindra - be dia be ny hakanton'ny manampahefana. ,The calling for the war for the truth is most complete - there is a lot of beauty of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Ny fanapahan-kevitry ny fitondrana dia manadihady ny fandaharam-potoana fototra. ,The government's decision discusses basic schedule. 
2,The community was anxious over the passing of the much needed reforms.,Nitebiteby ny fiarahamonina tamin'ny fandalovan'ny fanavaozana tena ilaina. ,Society has been anxious in the passing of essential updates. 
3,The think tank  published a paper outlining their apology of capital punishment.,Ny Tankin'ny eritreritra dia namoaka taratasy nanatsarana ny fialan-tsiny nataon'izy ireo ny fanasaziana renivohitra. ,The Tank of the Thoughts published a letter to improve their apologies to the capital punishment. 
4,Aught was left of the petition's validity,Navela tamin'ny maha-ara-dalàna ny fanangonan-tsonia ,The petition is permitted as legitimate 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Nanentana ny minisitra ny filoha ny filoham-pirenena mba hikoropaka ho fanohanana ny drafitry ny toe-karena ao aminy. ,The president inspired the minister to rise in support of its economic plan. 
6,The voters were chuffed to see the bill passed.,Ny mpifidy dia nirehitra mba hahita ny volavolan-dalàna lasa. ,Voters have been burning to see the bill past. 
7,The lawyer's discursive narration swayed the jury.,Ny fitantaran'ny mpisolovava dia nanala ny mpitsara. ,The lawyer's account has taken the judge. 
8,he court enjoined the violence!,"Nandaitra ny herisetra i He, ","Violence was effective in violence, "
9,The EU block opposed an eventual imposition of anti-dumping measures.,Ny EU BLOK dia nanohitra ny fomba fiasa tsy misy dikany. ,The EU blok has been against the meaningless method. 
10,A fulsome eulogy was delivered by the sly counsel.,Ny eulogy nahafinaritra dia natolotry ny torohevitra sly. ,The enjoyable eulogy was offered by Sly advice. 
11,The gig-economy agency decided to garnish the refunds!,Nanapa-kevitra ny hanangona ny famerenam-bola ny masoivoho Gig-tontolo iainana! ,The Gig-Environmental Gig-Environment has decided to collect the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Ireo mpikambana ao amin'ny hetsika revolisiona manohitra ny teokratika dia nanongana ny namana tamin'ny heriny! ,Members of the Theocratic Revolution Decil Declare friends with their Power! 
13,The traitors disappointingly decided to fight with the colonialists.,Ny mpamadika dia nandiso fanantenana ny hiady amin'ny mpanjan-kolontsaina. ,The traitor has been disappointed to fight the prey. 
