,sentence,Sinhalese,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,යුක්තිය වෙනුවෙන් යුද හ cry ක් සියල්ලටම වඩා - බලධාරීන්ගේ ච්රිගින්ට බොහෝ දේ ඇත. ,More than all the war cry for justice - Chrogine's for the authorities have much. 
1,The regime's decision adumbrates the underlying agenda.,පාලන තන්ත්රයගේ තීරණය යටින් පවතින න්යාය පත්රය විහිදේ. ,The underlying agenda is extended by the decision of the regime. 
2,The community was anxious over the passing of the much needed reforms.,අවශ්ය ප්රතිසංස්කරණ සම්මත කිරීම ගැන ප්රජාව කනස්සල්ලට පත්විය. ,The community worried about the necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,සිතීමේ ටැංකිය මරණ ද punishment ුවම පිළිබඳ ඔවුන්ගේ සමාව නොදෙන ලිපියක් පළ කළේය. ,Thinking tank posted a letter not forgiven the death penisive. 
4,Aught was left of the petition's validity,පෙත්සමේ වලංගු භාවයෙන් පැවතීම ,The validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,තම ආර්ථික සැලැස්ම සඳහා ප්රධාන විපක්ෂ සහයෝගයක් ලබා දීම සඳහා තමාට ගාංචු ලෙස ඉල්ලා සිටි ජනාධිපතිවරයා තම ඇමතිවරුන්ට අවවාද කළහ. ,The President who demanded his ministers to provide him with main opposition support for his economic plan. 
6,The voters were chuffed to see the bill passed.,පනත සම්මත වූ බව දැක ඡන්දදායකයින් පතිනු ලැබීය. ,The voters were recovered and the voters were passed. 
7,The lawyer's discursive narration swayed the jury.,නීති lawyer වරයාගේ විචාරක කථාව ජූරි සභාව ගෙන්වා ගත්තේය. ,The jury was brought to the jury's critic talk. 
8,he court enjoined the violence!,ඔහු අධිකරණය ප්රචණ්ඩත්වයට ඇනහිටීමක් විය! ,He was an offensive to the judiciary! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,යුරෝපා සංගම් කොටස අවසානයේදී බැහැර කිරීමේ පියවර පැනවීමකට විරුද්ධ විය. ,At the end of the EU section opposed an imposition measures. 
10,A fulsome eulogy was delivered by the sly counsel.,සුන්දර ප්රජාව ලබා දුන්නේ මෝඩ අවවාදයක් විසිනි. ,The beautiful community was provided by a stupid advice. 
11,The gig-economy agency decided to garnish the refunds!,ගිග්-ආර්ථික ඒජන්සිය මුදල් ආපසු ගෙවීමට තීරණය කළේය! ,Gig-Economic Agency decided to repay the money! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,ප්රති-ප්රති-ප්රති-විරෝධී විප්ලවවාදී ව්යාපාරයේ සාමාජිකයන් සම වයසේ මිතුරන් බලයේ පෙරමු weephere! ,Members of the anti-anti-anti-rejolution movement are filmeter in the peer watch! 
13,The traitors disappointingly decided to fight with the colonialists.,යටත් විජිතවාදීන් සමඟ සටන් කිරීමට ද්රෝහීන් බලාපොරොත්තු සුන් කරවන සුළුය. ,Traitors to fight colonialists are disappointing. 
