,sentence,Catalan,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,El crit de guerra per la justícia va ser tot el que va acabar amb el chagrin de les autoritats. ,The cry of war for justice was all that ended with the Chagrin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,La decisió del règim adumbates l'agenda subjacent. ,The decision of the Adumbates regime the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,La comunitat estava ansiosa sobre el pas de les reformes molt necessàries. ,The community was anxious about the passage of the necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,El Think Tank va publicar un article que descriu la seva disculpa de la pena de mort. ,The Think Tank published an article that describes his apology from the death penalty. 
4,Aught was left of the petition's validity,Es va deixar la validesa de la petició ,The validity of the request was left 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,El president va exhortar els seus ministres per sivilitzar-se com a suport clau de l'oposició al seu pla econòmic estava a punt de sivella. ,The president exhorted his ministers to sivilise as key support for the opposition to his economic plan was about buckle. 
6,The voters were chuffed to see the bill passed.,Els votants estaven paralitzats per veure que el projecte de llei va passar. ,Voters were paralyzed to see that the bill passed. 
7,The lawyer's discursive narration swayed the jury.,La narració discursiva de l'advocat es va balancejar el jurat. ,The discursive narration of the lawyer swept the jury. 
8,he court enjoined the violence!,El tribunal va ordenar la violència! ,The court ordered violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,El bloc de la UE es va oposar a una eventual imposició de mesures anti-dumping. ,The EU block opposed an eventual imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,El Consell d'Eulogia fuls va ser lliurat. ,The Council of Eulogy Fuls was delivered. 
11,The gig-economy agency decided to garnish the refunds!,L'Agència de Gig Economia va decidir decorar les devolucions! ,The agency of Gig Economy decided to decorate the returns! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Els membres del moviment revolucionari antiocràtic van derrocar als companys al poder! ,The members of the Antiocratic Revolutionary Movement demolished colleagues in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Els traïdors deceben de decebre lluitar amb els colonialistes. ,The traitors disappear from writing with colonialists. 
