,sentence,Urdu,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,انصاف کے لئے جنگ رونے کے حکام کے چکر میں بہت زیادہ تھا. ,"For justice, the war was very high in the cycle of crying. "
1,The regime's decision adumbrates the underlying agenda.,حکومت کے فیصلے بنیادی ایجنڈا کو ایڈجسٹ کرتی ہے. ,The government's judgment accommodates the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,کمیونٹی بہت ضروری اصلاحات کے پاس گزرنے پر فکر مند تھا. ,The community was worried about the passage of very important reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,سوچنے والی ٹینک نے ایک کاغذ شائع کیا جس میں دارالحکومت عذاب کی معافی کی وجہ سے. ,Thinking tanks published a paper in which due to the forgiveness of capital punishment. 
4,Aught was left of the petition's validity,درخواست کی توثیق کی توثیق کی گئی تھی ,The request verification was confirmed 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,صدر نے اپنے وزراء کو ان کی اقتصادی منصوبہ کے لئے کلیدی حزب اختلاف کی حمایت کے طور پر بکسوا کرنے کے طور پر بکسوا کرنے کے طور پر بکسوا کرنے کے بارے میں بکسوا. ,The President buckle about buckle as to buckle his ministers as to buckle as a key opposition support for their economic plan. 
6,The voters were chuffed to see the bill passed.,ووٹروں کو بل منظور کرنے کے لئے بند کر دیا گیا تھا. ,The voters were locked to pass the bill. 
7,The lawyer's discursive narration swayed the jury.,وکیل کی متضاد حدیث نے جوری کو بچایا. ,The lawyer's conflicting Hadith saved the jury. 
8,The court enjoined the violence!,عدالت نے تشدد کا اظہار کیا! ,The court expressed violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,یورپی یونین کے بلاک نے اینٹی ڈمپنگ کے اقدامات کی حتمی عصمت کی مخالفت کی. ,The EU block opposed the final rape of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,ایک Fulsome Eulogy سلی مشاورت کی طرف سے فراہم کی گئی تھی. ,A fulsome eulogy was provided by slim consultation. 
11,The gig-economy agency decided to garnish the refunds!,گیگ معیشت ایجنسی نے رقم کی واپسی کی ضمانت کا فیصلہ کیا! ,Gig economy agency decided to guarantee a refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,انسداد دہشت گردی کے انقلابی تحریک کے ارکان نے پاور میں ساتھیوں کو ختم کر دیا! ,Members of the revolutionary movement of anti-terrorism movements ended in Power! 
13,The traitors disappointingly decided to fight with the colonialists.,غداروں نے مایوس کن طور پر نوآبادیاتی ماہرین کے ساتھ لڑنے کا فیصلہ کیا. ,The treachers decided to fight with frustrating colonialists. 
