,sentence,English,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,The war cry for justice was all over - Much to the chagrin of the authorities. ,The war cry for justice was all over - Much to the chagrin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,The regime's decision adumbrates the underlying agenda. ,The regime's decision adumbrates the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,The community was anxious over the passing of the much needed reforms. ,The community was anxious over the passing of the much needed reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,The think tank  published a paper outlining their apology of capital punishment. ,The think tank  published a paper outlining their apology of capital punishment. 
4,Aught was left of the petition's validity,Aught was left of the petition's validity ,Aught was left of the petition's validity 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle. ,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle. 
6,The voters were chuffed to see the bill passed.,The voters were chuffed to see the bill passed. ,The voters were chuffed to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,The lawyer's discursive narration swayed the jury. ,The lawyer's discursive narration swayed the jury. 
8,The court enjoined the violence!,The court enjoined the violence! ,The court enjoined the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,The EU block opposed an eventual imposition of anti-dumping measures. ,The EU block opposed an eventual imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,A fulsome eulogy was delivered by the sly counsel. ,A fulsome eulogy was delivered by the sly counsel. 
11,The gig-economy agency decided to garnish the refunds!,The gig-economy agency decided to garnish the refunds! ,The gig-economy agency decided to garnish the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Members of the anti-theocratic revolutionary movement overthrew the peers in power! ,Members of the anti-theocratic revolutionary movement overthrew the peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,The traitors disappointingly decided to fight with the colonialists. ,The traitors disappointingly decided to fight with the colonialists. 
