,sentence,Cebuano,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Ang singgit sa giyera alang sa hustisya nahuman na sa Chagrin sa mga Awtoridad. ,The scream of the war for justice is completed by the Chagrin to the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Ang desisyon sa rehimen nga si Adombrates sa ilawom nga agenda. ,The regime's decision Adombrates at the bottom agenda. 
2,The community was anxious over the passing of the much needed reforms.,Ang komunidad nabalaka sa pag-agi sa labi ka kinahanglan nga mga reporma. ,The community is concerned with the passage of more necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Ang hunahuna nga tanke nagpatik sa usa ka papel nga nagpunting sa ilang pagpangayo pasaylo sa silot nga kapital. ,The thought tank prints a paper that focuses on their apologies for the capital punishment. 
4,Aught was left of the petition's validity,Ang usa ka nahabilin sa katinuod sa petisyon ,A remains of the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Giawhag sa Presidente ang iyang mga ministro nga magbitay ingon nga ang hinungdanon nga suporta sa oposisyon alang sa iyang pangpang sa pangpang hapit na ma-bitoon. ,The President urged his ministers to hang as the essential support of the opposition for his cliff on the cliff was about to be stared. 
6,The voters were chuffed to see the bill passed.,Ang mga botante gi-chiff aron makita ang Bill nga namatay. ,Voters are chiffed to see the bill dead. 
7,The lawyer's discursive narration swayed the jury.,Ang discurtive nga pagsaysay sa abogado nagpukaw sa hurado. ,Discurtive narrative lawyer stirs the jury. 
8,he court enjoined the violence!,Giawhag niya ang Korte sa Kapintasan! ,He urges the court of violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Gisupak sa EU block ang usa ka katapusan nga pagpahamtang sa mga lakang nga anti-dumping. ,The EU block objected to a final execution of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Ang usa ka maayo nga eulogy gihatag sa sly nga tambag. ,A good eulogy is given to Sly advice. 
11,The gig-economy agency decided to garnish the refunds!,Ang ahensya sa Gig-Economy nakadesisyon nga magdala sa mga refund! ,The Gig-Economy agency has decided to bring refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Ang mga myembro sa anti-teokratiko nga rebolusyonaryong kalihukan nagpanglingi sa mga kaedad sa gahum! ,Members of the Anti-theocratic revolutionary movement sparkle with peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Ang mga traydor nga makadaot nakahukom nga makig-away sa mga kolonyalista. ,The traitors who hurt decided to fight with the colonialists. 
