,sentence,Tatar,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Гаделлек өчен Сугышның барысы да хакимиятнең шагринга күбесе бетте. ,"For justice, all of the war is over most of the government. "
1,The regime's decision adumbrates the underlying agenda.,Региональ карары төп көн тәртибен бизәми. ,The regional decision is not decorated the order of the main agenda. 
2,The community was anxious over the passing of the much needed reforms.,Theәмгыять бик кирәкле реформаларны узу белән борчылды. ,The community was concerned with the passage of the reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Фикер йөртүчеләрнең кәгазь бастырылган, аларның үлем җәзасы булган гафу үтенгән. ",Putpeople have published paper and apologized to their death penalty. 
4,Aught was left of the petition's validity,Ашлыкның дөреслегеннән читтә калды ,Left out of the correctness of grain 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Президент хезмәтчеләрен икътисади планы өчен төп оппозиция ярдәме итеп бәйләргә өндәде. ,The president also encouraged his servants to be tied as the support of the economic plan. 
6,The voters were chuffed to see the bill passed.,Сайлаучылар законнар кабул итүләрен күрү өчен чумдылар. ,Voters were baptized to see the legislation of law. 
7,The lawyer's discursive narration swayed the jury.,Жюри белән адвокатның кимчелекле хикәясе. ,A jury and a lawyer's defective story. 
8,he court enjoined the violence!,Ул золымны боерырга кушты! ,He asked to command the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ЕС блокы ераклыкка каршы чараларның көнкүреш салуына каршы. ,The EU block is against the household lay of the distance. 
10,A fulsome eulogy was delivered by the sly counsel.,Фулсом эвологиясе мәктә дә киңәше белән тәэмин итте. ,Fulsom has also provided advice. 
11,The gig-economy agency decided to garnish the refunds!,Гиг-икътисад агентлыгы кире кайтаруны гарантияләргә булды! ,Hig-Economic Agency decided to guarantee the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Теократик революцион хәрәкәт әгъзалары яшьтәшләрне хакимияткә таркаттылар! ,Members of the theocratic revolutionary movement disobey peers into authority! 
13,The traitors disappointingly decided to fight with the colonialists.,Хыянәтчеләр күңелсезләнеп колониальистлар белән көрәшергә булдылар. ,The treachers have decided to fight colonialists. 
