,sentence,Mongolian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,"Дайны уйлангуудын уйлах нь бүгдийг бүхэлд нь гүйцэд, эрх баригчдын chagrin-д маш их байсан. ",The cry of war crying was all so much in the whole of the entire authority. 
1,The regime's decision adumbrates the underlying agenda.,Дүрмийн шийдвэр нь үндсэн төлөвлөгөөний хөтөлбөрийг саатуулдаг. ,Rules decisions hinder the main plan program. 
2,The community was anxious over the passing of the much needed reforms.,Нийгэмлэг нь шинэчлэлийг өнгөрөхөд санаа зовж байв. ,The community was worried about passing reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Бодох сав нь капиталын шийтгэлийн уучлалыг уучлал гуйхыг туулсан. ,The pitch took took a pardon of capital punishment apology. 
4,Aught was left of the petition's validity,Aught нь өргөдлийн хүчинтэй байх ёстой байв ,Aught should have been valid for application 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Эдийн засгийн төлөвлөгөөнийхөө эсрэг сөрөг дэмжлэг үзүүлэхийн тулд Ерөнхий сайдыг зааж өгсөн. ,Taught the Prime Minister to provide negative support against your economic plans. 
6,The voters were chuffed to see the bill passed.,Сонгогчдыг дамжуулж харахаар сонгосон. ,Selected to see voters through. 
7,The lawyer's discursive narration swayed the jury.,Хуульчдын задралын хүүрнэл нь тангарагтны тангараг өргөв. ,The chains of lawyers have sweared the jury. 
8,he court enjoined the violence!,Тэр шүүх хүчирхийллийг дахин зохион байгууллаа! ,She has been re-organized for the court! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ЕХ-ны блок нь хаях эсрэг арга хэмжээ авахыг эсэргүүцэв. ,EU block resisted to take anti-action action. 
10,A fulsome eulogy was delivered by the sly counsel.,Фулсомын уур хилэнг SLY зөвлөгөө өгсөн. ,The foulom's rage was given SLY advice. 
11,The gig-economy agency decided to garnish the refunds!,Gig-Эдийн засгийн газар буцаан олголтыг засахаар шийдсэн! ,Gig-Economically decided to fix the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Хөдөлгөөнгүй хувьсгалт хөдөлгөөний гишүүд үе тэнгийнхний үе тэнгийнхнийг унагав! ,Mobile Revamp Members dropped peer peers! 
13,The traitors disappointingly decided to fight with the colonialists.,Урвагч нар колоничлолын хамт тэмцэхээр шийдсэн. ,The traitors decided to fight colonials. 
