,sentence,Amharic,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,ጦርነቱ ፍትህ የሚጮኸው ጩኸት ሁሉ ተጠናቅቋል - ብዙ የባለሥልጣናት ጩኸት ነበር. ,"The war is over the screams of justice, all the screaming - many authorities were screaming. "
1,The regime's decision adumbrates the underlying agenda.,ገዥው አካል ውሳኔው ከስር ያለው አጀንዳ ያበረታታል. ,The regime promotes the lower agenda. 
2,The community was anxious over the passing of the much needed reforms.,ህብረተሰቡ በጣም የሚፈለጉትን ማሻሻያዎች በማለፍ ይጨነቃል. ,The community is worried by passing the most required improvements. 
3,The think tank  published a paper outlining their apology of capital punishment.,አስቡት ገንዳ አንድ ወረቀት ስለ ካፒታል ቅጣት ይቅርታ በመግለጽ የወረቀት ወረቀት አሳተመ. ,Imagine a piece of paper with apologized for apologized for apologizing about capital punishment. 
4,Aught was left of the petition's validity,የትኛውም የአቤቱታው ትክክለኛነት የተተወ ነበር ,No accuracy of any complaint was 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,ፕሬዝዳንቱ አገልጋዮቹ በኢኮኖሚ ዕቅዱ ላይ ቁልፍ ተቃውሞ ድጋፍ እንዲወጡ አሳስቧቸዋል. ,The President urges his servants to enter the support of the economic plan. 
6,The voters were chuffed to see the bill passed.,መራጮች ሂሳቡ አል passed ል. ,The voters have passed. 
7,The lawyer's discursive narration swayed the jury.,የሕግ ባለሙያው ቂጣ ትረካ ዳኛን ተቀጠቀጠ. ,The lawyer was buried by the cake of a bread narrative. 
8,he court enjoined the violence!,ፍርድ ቤቱ ዓመፅን አዘነ! ,The court grieviated violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,የአውሮፓ ህብረት ብሎክ የፀረ-መወጣጫ እርምጃዎችን ለማስመሰል ተቃወመ. ,The European Union opposed anti-rating measures. 
10,A fulsome eulogy was delivered by the sly counsel.,ሙሉ በሙሉ ሥነ ምህዳናዊ በሆነው ምክር ተሻሽሏል. ,Has improved entirely on ecological advice. 
11,The gig-economy agency decided to garnish the refunds!,የጊግ-ኢኮኖሚ ኤጀንሲ ተመላሽ ገንዘብ ለማምጣት ወሰነ! ,The Gg-Economic Agency decided to bring refunds for a refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,እኩዮቹን በኃይል ያጠፋሉ የፀረ-ቲኦክራሲያዊ የአየር ሁኔታ እንቅስቃሴዎች አባላት ናቸው! ,Those who destroy the peers are members of anti-theocratic weather activities! 
13,The traitors disappointingly decided to fight with the colonialists.,ከሳላፊዎቹ ታዛሚዎቹ አሳዛኝ ከሆኑት ቅኝ ግዛት ጋር ለመዋጋት ወሰኑ. ,The captives decided to fight against the tragic colony. 
